CURSO,MATERIA,NOTA
3,INGLES INTERMEDIO II,6.1
3,GUION CINEMATOGRAFICO II,6.3
3,MULTIMEDIA E INTERACT. 1,7.2
3,SONIDO DIGITAL I,6.3
3,VIDEO COMPOSICION DIGITAL I,8.5
3,PHOTOSHOP ,10
3,ANIMACION 3D,9.8
3,METODOS ESTADISTICOS,7.4
3,ILUMINACION Y TEXTURA DIGITAL,9.4
3,INGLES AVANZADO ,6.2
3,MODELADO 3D ORGANICO ,9.9
3,VIDEO COMPOSICION DIGITAL II,8.4
3,MARKETING PERSONAL,6.3
3,PUBLICIDAD Y MARKETING ,6
